Country Code,IMF Country Code,Country,Indicator Type,Series Name,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
MYS,548,Malaysia,Inflation,Estimated Core Consumer Price Inflation,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.91,3.12,1,1.17,3.52,4.84,1.76,5.21,-2.17,1.38,2.83,1.03,1.32,2.88,0.93,0.74,4.53,0,-0.61,-2.41,
MLI,678,Mali,Inflation,Estimated Core Consumer Price Inflation,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.71,3.34,1.08,1.46,-0.26,-1.19,1.52,1.41,-2.69,-1.76,3.85
MLT,181,Malta,Inflation,Estimated Core Consumer Price Inflation,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.79,0.15,3.17,0.59,1.72,2.4,1.89,0.12,0.23,0.58,0.08,0.86,0.64,1.02,0.05,
MRT,682,Mauritania,Inflation,Estimated Core Consumer Price Inflation,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.29,6.49,3.78,1.84,-0.89,0.88,2.21,2.25,2.63,3.39,
MUS,684,Mauritius,Inflation,Estimated Core Consumer Price Inflation,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.87,4.92,5.26,4.56,4.83,7.77,6.4,7.4,3.03,3.27,7.81,4.46,4.3,3.08,0.64,1.85,4.95,1.32,-0.04,2.05,5.45
MEX,273,Mexico,Inflation,Estimated Core Consumer Price Inflation,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.63,3.56,3.32,3.46,4.24,5.19,4.77,3.54,3.4,3.73,4.19,2.62,2.69,6.51,5.29,4,2.65,2.31
MDA,921,Moldova,Inflation,Estimated Core Consumer Price Inflation,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.15,9.87,6.55,6.32,3.62,4.45,2.18,5.38
MNG,948,Mongolia,Inflation,Estimated Core Consumer Price Inflation,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8.42,23.97,9.8,9.42,7.86,11.94,11.04,13.36,6.61,1.74,4.2,5.79,5.67,2.61,5.14
MNE,943,Montenegro,Inflation,Estimated Core Consumer Price Inflation,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.27,2.41,0.68,-0.48,0.53,-0.09,3.05,4.63,-1.71,,
MSR,,Montserrat,Inflation,Estimated Core Consumer Price Inflation,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.83,-1.4,1.05,0.93,-1.56,,
